Fuel,Fire_Size_kW,Fuel_Flow_Time_s,Prob_L,Prob_M,Ig_Time_D_L,Ig_Time_D_M,Ig_Time_W_L,Ig_Time_W_M,THR_kJ_D_L,THR_kJ_D_M,THR_kJ_W_L,THR_kJ_W_M,Est_GC_time_s_D_L,Est_GC_time_s_D_M,Est_GC_time_s_W_L,Est_GC_time_s_W_M,Total_Fuel_ Mass_Fraction,Total_Mass (g),Upper_Temperature_C,Upper_X_Fuel,Upper_X_O2,Upper_X_CO2,Upper_X_CO,Upper_X_H2O,Upper_X_N2,Lower_Temperature_C,Lower_X_Fuel,Lower_X_O2,Lower_X_CO2,Lower_X_CO,Lower_X_H2O,Lower_X_N2,m_f_g,CE_F_kJ,u_m_f_g,u_CE_F_kJ,h_GC_cm_D,h_GC_cm_W
Methane,25,360,0.07,0.42,0,2.655,0,2.26,0,1684.7233,0,1305.3087,0,2.18379,0,2.04128,0.049047,1212.4,141.56,0.095256,0.091783,0.040578,0.0034462,0.097072,0.67186,128.27,0.064698,0.1216,0.03142,0.0021223,0.072275,0.70788,58.8,2938,2.5,123,NaN,NaN
Methane,25,390,0.33,0.71,0,2.49667,2.48,2.36,0,2643.1525,977.801,1833.39,0,2.09927,2.24331,2.011,0.06555,1246.8,146.42,0.16872,0.07683,0.040054,0.0038991,0.096573,0.61393,86.734,0.031576,0.14518,0.024744,0.0012677,0.055756,0.74148,81,4052,4.5,224,NaN,NaN
Methane,25,450,0.725,0.95,1.5525,2.684,1.71666,2.63,3469.8234,3353.48,3672.95,3572.47,2.29424,2.21387,2.21988,2.08924,0.092434,1205.1,137.42,0.18847,0.075235,0.039277,0.0033133,0.094917,0.59878,108.82,0.098315,0.11812,0.029786,0.0022644,0.068679,0.68283,111.31,5566,6.7,336,NaN,NaN
Methane,37.5,225,0.03,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.042529534,1174.326691,218.6575,0.08954197,0.055730293,0.054305091,0.006339689,0.13839198,0.655690977,162.80125,0.04774918,0.119820133,0.032246845,0.003999801,0.07860479,0.717579251,45.2,2258,1.6,79,NaN,NaN
Methane,37.5,285,0.69,0.93,1.74,2.53667,N/A,N/A,2648.12,2763.37,0,0,1.88839,1.93704,N/A,N/A,0.092107,1105.3,165.3,0.19563,0.056852,0.045221,0.0051563,0.11232,0.58482,150.65,0.082223,0.10428,0.035529,0.0043915,0.087384,0.68619,101.9,5093,2,101,NaN,NaN
Propane,25,210,0.47,0.49,0,1.49,0,0,0,418.078,N/A,N/A,0,,0,0,0.054006,1043.5,256.52,0.043711,0.046297,0.075735,0.010001,0.12952,0.69474,199.02,0.023788,0.13396,0.035062,0.0043455,0.057881,0.74496,56.5,2619,2.2,102,41.9,35
Propane,25,285,0.9,0.92,2.215,4.16,N/A,N/A,2885.98,2580.83,N/A,N/A,2.19361,2.00255,N/A,N/A,0.059994,1175.9,198.6,0.02396,0.068897,0.062001,0.0076499,0.12386,0.71364,144.92,0.060349,0.13307,0.032195,0.0036908,0.050274,0.72042,69.5,3220,4,187,44.7,
Propane,16.7,255,0.04,0.01,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0.039395,1089.9,233.76,0.027831,0.061082,0.072825,0.0059569,0.11784,0.71446,175.09,0.022732,0.1039,0.052173,0.0038508,0.080793,0.73655,42.9,1990,1.5,70,,
Propane,16.7,270,0.13,0.08,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0.046091,1084,241.17,0.033284,0.044524,0.079555,0.0078257,0.13219,0.70262,173.22,0.025778,0.1152,0.046181,0.0032346,0.070565,0.73904,48.5,2248,5.2,244,41.7,32.4
Propane,16.7,315,0.45,0.47,0.9,2.295,N/A,N/A,996.254,878.276,N/A,N/A,2.08156,2.0707,N/A,N/A,0.048171,1163.2,192.13,0.028502,0.082955,0.061885,0.0048928,0.098128,0.72364,165.95,0.036129,0.12039,0.042229,0.0031871,0.064539,0.73353,55.6,2575,1,45,,
