Test,Fuel,Fire_Size_kW,Fuel_Flow_Time_s,Window,CE_of_Unburned_Fuel(kJ),,h_gc_cm,h_gc_rel
184,Propane,16.7,270,1,2356.744547,2.417781826,42.73103448,0.659429544
205,Propane,16.7,270,1,2386.488895,2.349850331,24.8,0.382716049
179,Propane,16.7,270,,2319.431705,2.32081969,42.85714286,0.535714286
214,Propane,16.7,270,,2352.64719,2.409980389,35.86206897,0.448275862
187,Propane,16.7,270,1,2306.246278,2.323161044,30.51428571,0.470899471
203,Propane,16.7,270,1,2378.791193,2.432844539,31.69655172,0.489144317
192,Propane,16.7,270,,2360.890125,2.373000564,45.12820513,0.564102564
212,Propane,16.7,270,,2360.58928,2.523481016,43.07692308,0.538461538
196,Propane,25,210,1,2662.331772,2.64323244,33.22105263,0.512670565
215,Propane,25,210,1,2666.786487,2.782579489,36.8,0.567901235
131,Propane,25,210,,2674.973947,3.13995127,41.9047619,0.523809524
455,Propane,25,285,,3248.101203,3.894182522,44.70588235,0.558823529
146,Propane,25,300,1,3361.577196,3.302094392,27.72682927,0.427883168
166,Propane,25,300,1,3415.374655,3.411724804,27.87692308,0.43019943
195,Propane,25,300,1,3335.949449,3.29761712,29.01052632,0.447693307
134,Propane,25,300,,3190.379944,2.958926989,35.29411765,0.441176471
154,Propane,25,300,,3145.086781,2.941169708,42.92682927,0.536585366
149,Propane,25,300,1,3236.447895,3.077632587,27.72682927,0.427883168
248,Propane,25,300,,3100.963361,183.9551277,49.41176471,0.617647059
264,Propane,25,300,,3152.968334,202.0171433,55.55555556,0.694444444
267,Propane,25,300,,3110.068688,185.7862899,56.47058824,0.705882353
269,Propane,25,300,,4035.029324,423.1569487,48.48484848,0.606060606
250,Propane,25,300,1,2953.795192,176.9495194,36.56470588,0.564270153
256,Propane,25,300,1,3172.800753,208.0336924,42.98181818,0.663299663
270,Propane,25,300,1,3114.256952,186.664305,45.97647059,0.709513435
272,Propane,25,300,1,4195.498381,423.5083325,41.94285714,0.647266314
274,Propane,25,300,1,3108.589062,200.2367,37.37142857,0.576719577
276,Propane,25,300,1,4132.928094,402.6134245,39.8,0.614197531
290,Propane,25,300,1,4051.102926,353.0109489,45.40606061,0.700710812
289,Propane,25,300,1,3089.863226,194.221839,46.61818182,0.719416386
